Compound	CAS	T_half_air_days	Canonical_smiles
cyclohexane	110-82-7|12217-02-6	0.708333333333333	C1CCCCC1
cyclohexene	110-83-8|25012-94-6	0.208333333333333	C1=CCCCC1
pyridine	110-86-1|29761-81-7	22.9166666666667	c1ccncc1
1-hexanol	111-27-3|25917-35-5	2.29166666666667	CCCCCCO
ethanol, 2,2'-iminobis-	111-42-2	0.208333333333333	OCCNCCO
propane, 1,1'-oxybis-	111-43-3	0.708333333333333	CCCOCCC
ethane, 1,1'-oxybis 2-chloro-	nan	0.708333333333333	
octane	111-65-9|31372-91-5|9065-92-3	0.708333333333333	CCCCCCCC
1-octene	111-66-0|26746-84-9	0.208333333333333	C=CCCCCCC
1-octanol	111-87-5|220713-26-8|29063-28-3	2.29166666666667	CCCCCCCCO
ethane, 1,1'- methylenebis(oxy) bis 2-chloro-	nan	0.708333333333333	
dodecane	112-40-3|93685-81-5	0.708333333333333	CCCCCCCCCCCC
propoxur	114-26-1	0.208333333333333	CN=C(O)Oc1ccccc1OC(C)C
methane, oxybis-	115-10-6|157621-61-9	0.708333333333333	COC
aldicarb	116-06-3	0.208333333333333	CN=C(O)ON=CC(C)(C)SC
HCB	118-74-1	708.333333333333	Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl
benzoic acid, 2-methyl-	118-90-1|25567-10-6|442197-98-0	2.29166666666667	Cc1ccccc1C(=O)O
benzoic acid, 2-chloro-	118-91-2|26264-09-5	7.08333333333333	O=C(O)c1ccccc1Cl
methanone, diphenyl-	119-61-9	22.9166666666667	O=C(c1ccccc1)c1ccccc1
anthracene	120-12-7|54261-80-2	2.29166666666667	c1ccc2cc3ccccc3cc2c1
1,2-benzenediol	120-80-9|12385-08-9|26982-53-6	0.708333333333333	Oc1ccccc1O
benzene, 1,2,4-trichloro-	104810-41-5|120-82-1|63697-18-7	22.9166666666667	Clc1ccc(Cl)c(Cl)c1
phenol, 2,4-dichloro-	120-83-2|3317-66-6	2.29166666666667	Oc1ccc(Cl)cc1Cl
benzene, 1-methyl-2,4-dinitro-	121-14-2|1326-41-6|84029-42-5	0.708333333333333	Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-]
benzenamine, n,n-dimethyl-	101357-19-1|121-69-7|86362-18-7	0.208333333333333	CN(C)c1ccccc1
malathion	121-75-5	0.708333333333333	CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC
1,3,5-triazine-2,4-diamine, 6-chloro-n,n'-diethyl-	122-34-9	2.29166666666667	CCN=c1nc(Cl)[nH]c(=NCC)[nH]1
benzenamine, n-phenyl-	122-39-4|25656-57-9	0.208333333333333	c1ccc(Nc2ccccc2)cc1
propanal	123-38-6|25722-18-3	0.208333333333333	CCC=O
butanal	123-72-8|27789-14-6	0.208333333333333	CCCC=O
acetic acid, butyl ester	123-86-4	2.29166666666667	CCCCOC(C)=O
1,4-dioxane	123-91-1|28552-22-9	2.29166666666667	C1COCCO1
decane	116372-01-1|124-18-5|63335-87-5	0.708333333333333	CCCCCCCCCC
methanamine, n-methyl-	124-40-3|20786-94-1	0.208333333333333	CNC
1,3-butadiene, 2-chloro-	126-99-8	2.29166666666667	C=CC(=C)Cl
pyrene	129-00-0|1346601-04-4|41496-25-7	7.08333333333333	c1cc2ccc3cccc4ccc(c1)c2c34
1,2-benzenedicarboxylic acid, dimethyl ester	131-11-3	7.08333333333333	COC(=O)c1ccccc1C(=O)OC
dibenzofuran	132-64-9	2.29166666666667	c1ccc2c(c1)oc1ccccc12
1-naphthalenamine	134-32-7|25168-10-9	0.208333333333333	Nc1cccc2ccccc12
thioperoxydicarbonic diamide, tetramethyl-	137-26-8	7.08333333333333	CN(C)C(=S)SSC(=S)N(C)C
ethanol, 2-amino-	12220-07-4|12220-09-6|141-43-5	0.208333333333333	NCCO
acetic acid ethyl ester	141-78-6	2.29166666666667	CCOC(C)=O
cyclopentene	10016-46-3|142-29-0|29300-20-7	0.208333333333333	C1=CCCC1
hexanoic acid	142-62-1|56279-38-0	2.29166666666667	CCCCCC(=O)O
perylene	198-55-0|69736-15-8	7.08333333333333	c1cc2cccc3c4cccc5cccc(c(c1)c23)c54
fluoranthene	206-44-0|76774-50-0	7.08333333333333	c1ccc2c(c1)-c1cccc3cccc-2c13
benzo(k)fluoranthene	207-08-9	7.08333333333333	c1ccc2cc3c(cc2c1)-c1cccc2cccc-3c12
chrysene	218-01-9|65777-08-4	7.08333333333333	c1ccc2c(c1)ccc1c3ccccc3ccc21
cyclopentane	287-92-3	0.708333333333333	C1CCCC1
cyclo-octane	nan	0.708333333333333	C1CCCCCCC1
parathion methyl	298-00-0	0.708333333333333	COP(=S)(OC)Oc1ccc([N+](=O)[O-])cc1
aldrin	309-00-2	0.208333333333333	ClC1=C(Cl)[C@]2(Cl)[C@H]3[C@H]([C@@H]4C=C[C@H]3C4)[C@@]1(Cl)C2(Cl)Cl
delta-hexachlorocyclohexane	119911-69-2|319-84-6|319-85-7|319-86-8|55963-79-6|58-89-9|608-73-1|6108-10-7|6108-11-8|6108-12-9|6108-13-0	7.08333333333333	ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl
diuron	330-54-1	0.708333333333333	CN(C)C(O)=Nc1ccc(Cl)c(Cl)c1
linuron	330-55-2|56645-87-5	0.708333333333333	CON(C)C(O)=Nc1ccc(Cl)c(Cl)c1
diazinon	333-41-5	22.9166666666667	CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1
benzene, fluoro-	462-06-6	0.708333333333333	Fc1ccccc1
1h-indene, 2,3-dihydro-	496-11-7|56573-11-6	0.708333333333333	c1ccc2c(c1)CCC2
benzene, 1,2,3-trimethyl-	25551-13-7|526-73-8	0.708333333333333	Cc1cccc(C)c1C
phenol, 2-methyl-4,6-dinitro-	534-52-1	7.08333333333333	Cc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O
benzene, 1,3-dichloro-	541-73-1|63697-17-6	22.9166666666667	Clc1cccc(Cl)c1
methane, oxybis chloro-	nan	0.708333333333333	
2,3-dimethylnaphthalene	581-40-8	0.708333333333333	Cc1cc2ccccc2cc1C
benzene, iodo-	51209-48-4|591-50-4	7.08333333333333	Ic1ccccc1
2-hexanone	30637-87-7|591-78-6	2.29166666666667	CCCCC(C)=O
acetic acid, 2-propenyl ester	29467-34-3|591-87-7	2.29166666666667	C=CCOC(C)=O
1,4-pentadiene	591-93-5	0.208333333333333	C=CCC=C
formic acid, butyl ester	592-84-7	2.29166666666667	CCCCOC=O
benzene, pentachloro-	608-93-5	229.166666666667	Clc1cc(Cl)c(Cl)c(Cl)c1Cl
1-propanamine, n-nitroso-n-propyl-	621-64-7	0.208333333333333	CCCN(CCC)N=O
3-butenoic acid	28391-17-5|625-38-7	0.708333333333333	C=CCC(=O)O
1,4-cyclohexadiene	628-41-1	0.208333333333333	C1=CCC=CC1
acetic acid, pentyl ester	628-63-7|828-63-7	2.29166666666667	CCCCCOC(C)=O
benzene, 1,2,3,4-tetrachloro-	13280-72-3|634-66-2|63697-20-1	70.8333333333333	Clc1ccc(Cl)c(Cl)c1Cl
benzene, 1,2,3,5-tetrachloro-	634-90-2|63697-21-2	70.8333333333333	Clc1cc(Cl)c(Cl)c(Cl)c1
1-hexyne	26856-30-4|28827-85-2|693-02-7	0.208333333333333	C#CCCCC
carbamothioic acid, dipropyl-, s-ethyl ester	759-94-4	0.708333333333333	CCCN(CCC)C(=O)SCC
1-ethylnaphthalene	1127-76-0|27138-19-8|29793-40-6	0.708333333333333	CCc1cccc2ccccc12
carbofuran	1563-66-2	0.208333333333333	CN=C(O)Oc1cccc2c1OC(C)(C)C2
trifluralin	1582-09-8|71281-30-6	7.08333333333333	CCCN(CCC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-]
propane, 2-methoxy-2-methyl-	1219795-06-8|1634-04-4	0.708333333333333	COC(C)(C)C
2,3,7,8-TCDD	1746-01-6|56795-67-6	7.08333333333333	Clc1cc2c(cc1Cl)Oc1cc(Cl)c(Cl)cc1O2
atrazine	102029-43-6|1912-24-9	0.208333333333333	CCN=c1nc(Cl)[nH]c(=NC(C)C)[nH]1
dicamba	1918-00-9|62610-39-3|89300-29-8	2.29166666666667	COc1c(Cl)ccc(Cl)c1C(=O)O
decachlorobiphenyl	nan	2291.66666666667	Clc1c(Cl)c(Cl)c(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1Cl
3 chlorobiphenyl	nan	7.08333333333333	Clc1cccc(-c2ccccc2)c1
diallate	17708-57-5|2303-16-4	0.708333333333333	CC(C)N(C(=O)SCC(Cl)=CCl)C(C)C
triallate	2303-17-5	7.08333333333333	CC(C)N(C(=O)SCC(Cl)=C(Cl)Cl)C(C)C
2-methoxytetrachlorophenol	2539-17-5|97331-56-1	7.08333333333333	COc1c(O)c(Cl)c(Cl)c(Cl)c1Cl
octachlorodibenzo-p-dioxin	3268-87-9	22.9166666666667	Clc1c(Cl)c(Cl)c2c(c1Cl)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1O2
o,p' DDE	3424-82-6	7.08333333333333	ClC(Cl)=C(c1ccc(Cl)cc1)c1ccccc1Cl
2,8-dichlorodibenzofuran	5409-83-6	7.08333333333333	Clc1ccc2oc3ccc(Cl)cc3c2c1
benzene, 1-chloro-4-phenoxy-	55398-86-2|7005-72-3	0.708333333333333	Clc1ccc(Oc2ccccc2)cc1
mecoprop	7085-19-0|93-65-2	0.708333333333333	Cc1cc(Cl)ccc1OC(C)C(=O)O
