Compound	CAS	T_half_soil_days	Canonical_smiles	Corrected_names	n_sources
FLURIDONE	59756-60-4	360.0	Cn1cc(-c2ccccc2)c(=O)c(-c2cccc(C(F)(F)F)c2)c1		1
Fluroxypyr	69377-81-7	23.0	Nc1c(Cl)c(F)nc(OCC(=O)O)c1Cl		1
Flutolanil	66332-96-5	300.0	CC(C)Oc1cccc(N=C(O)c2ccccc2C(F)(F)F)c1		1
FLUVALINATE	69409-94-5	15.0	CC(C)C(Nc1ccc(C(F)(F)F)cc1Cl)C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1		1
FOLPET	133-07-3	75.4	O=C1c2ccccc2C(=O)N1SC(Cl)(Cl)Cl		1
FOMESAFEN	72178-02-0	365.0	CS(=O)(=O)N=C(O)c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-]		1
FONOFOS	944-22-9|994-22-9	150.0	CCOP(=S)(CC)Sc1ccccc1		1
Foramsulfuron	173159-57-4	40.0	COc1cc(OC)nc(N=C(O)NS(=O)(=O)c2cc(N=CO)ccc2C(=O)N(C)C)n1		1
Forchlorfenuron	68157-60-8	1659.0	OC(=Nc1ccccc1)Nc1ccnc(Cl)c1		1
Fosthiazate	98886-44-3	87.7	CCOP(=O)(SC(C)CC)N1CCSC1=O		1
FURATHIOCARB	65907-30-4	6.0	CCCCOC(=O)N(C)SN(C)C(=O)Oc1cccc2c1OC(C)(C)C2		1
Galaxolide	1222-05-5	120.0	CC1COCc2cc3c(cc21)C(C)(C)C(C)C3(C)C		1
