Compound	CAS	T_half_air_days	Canonical_smiles	Corrected_names	n_sources
phenol, 2,4,5-trichloro-	95-95-4	7.08333333333333	Oc1cc(Cl)c(Cl)cc1Cl		2
oxirane, phenyl-	192506-02-8|25189-69-9|96-09-3	0.708333333333333	c1ccc(C2CO2)cc1		2
propane, 1,2,3-trichloro-	96-18-4	22.9166666666667	ClCC(Cl)CCl		2
3-pentanone	96-22-0	2.29166666666667	CCC(=O)CC		2
benzene, (1-methylethyl)-	101316-43-2|98-82-8	0.708333333333333	CC(C)c1ccccc1		2
ethanone, 1-phenyl-	98-86-2	22.9166666666667	CC(=O)c1ccccc1		2
benzene, nitro-	98-95-3	0.208333333333333	O=[N+]([O-])c1ccccc1		2
benzene, 1-methyl-4-nitro-	99-99-0	0.708333333333333	Cc1ccc([N+](=O)[O-])cc1		2
phenol, 4-nitro-	100-02-7	2.29166666666667	O=[N+]([O-])c1ccc(O)cc1		2
benzene, ethyl-	100-41-4|20302-26-5	0.708333333333333	CCc1ccccc1		2
benzene, ethenyl-	100-42-5|12770-88-6|25086-18-4|6911-81-5|98444-30-5	0.208333333333333	C=Cc1ccccc1		2
benzenemethanol	100-51-6|185532-71-2|66072-40-0	2.29166666666667	OCc1ccccc1		2
benzene, methoxy-	100-66-3	0.708333333333333	COc1ccccc1		2
benzene, 1,1'-oxybis-	101-84-8|32576-61-7	0.708333333333333	c1ccc(Oc2ccccc2)cc1		2
benzene, propyl-	103-65-1	0.708333333333333	CCCc1ccccc1		2
benzeneacetic acid	103-82-2|17303-65-0|51146-16-8	2.29166666666667	O=C(O)Cc1ccccc1		2
phenol, 2,4-dimethyl-	105-67-9	0.708333333333333	Cc1ccc(O)c(C)c1		2
benzene, 1,4-dimethyl-	106-42-3|136777-61-2	0.708333333333333	Cc1ccc(C)cc1		2
benzene, 1,4-dichloro-	106-46-7|55232-43-4	22.9166666666667	Clc1ccc(Cl)cc1		2
benzenamine, 4-chloro-	106-47-8	0.208333333333333	Nc1ccc(Cl)cc1		2
1,3-butadiene	106-99-0|130983-70-9|1983-06-8|25339-57-5|26952-74-9	0.208333333333333	C=CC=C		2
2-propenal	107-02-8|81788-96-7	0.208333333333333	C=CC=O		2
ethane, 1,2-dichloro-	107-06-2|25323-30-2|52399-93-6	70.8333333333333	ClCCCl		2
propanenitrile	107-12-0	70.8333333333333	CCC#N		2
2-propenenitrile	107-13-1|63908-52-1	2.29166666666667	C=CC#N		2
2-propen-1-ol	107-18-6	2.29166666666667	C=CCO		1
1,2-ethanediol	107-21-1	2.29166666666667	OCCO		2
methane, chloromethoxy-	107-30-2	0.708333333333333	COCCl		2
formic acid, methyl ester	107-31-3	2.29166666666667	COC=O		2
2-pentanone	107-87-9	2.29166666666667	CCCC(C)=O		2
butanoic acid	107-92-6	2.29166666666667	CCCC(=O)O		2
acetic acid ethenyl ester	108-05-4|93196-02-2	2.29166666666667	C=COC(C)=O		2
2-pentanone, 4-methyl-	108-10-1	2.29166666666667	CC(=O)CC(C)C		2
benzene, 1,3-dimethyl-	108-38-3	0.708333333333333	Cc1cccc(C)c1		2
benzene, 1,3,5-trimethyl-	108-67-8|19121-63-2	0.708333333333333	Cc1cc(C)cc(C)c1		2
benzene, 1,3,5-trichloro-	108-70-3|63697-19-8	22.9166666666667	Clc1cc(Cl)cc(Cl)c1		2
benzene, bromo-	108-86-1|52753-63-6	7.08333333333333	Brc1ccccc1		2
cyclohexane, methyl-	108-87-2	0.708333333333333	CC1CCCCC1		2
benzene, methyl-	108-88-3|25013-04-1	0.708333333333333	Cc1ccccc1		2
pyridine, 4-methyl-	108-89-4|69046-49-7|92075-35-9	22.9166666666667	Cc1ccncc1		2
benzene, chloro-	108-90-7|50717-45-8	7.08333333333333	Clc1ccccc1		2
cyclohexanamine	108-91-8|157973-60-9	0.208333333333333	NC1CCCCC1		2
cyclohexanol	108-93-0	2.29166666666667	OC1CCCCC1		2
cyclohexanone	108-94-1|9075-99-4	2.29166666666667	O=C1CCCCC1		2
phenol	108-95-2|17442-59-0|27073-41-2|63496-48-0|73607-76-8	0.708333333333333	Oc1ccccc1		2
pyridine, 3-methyl-	108-99-6	22.9166666666667	Cc1cccnc1		2
acetic acid, propyl ester	109-60-4	2.29166666666667	CCCOC(C)=O		2
pentane	102056-77-9|107949-95-1|109-66-0	0.708333333333333	CCCCC		2
1-pentene	109-67-1|25587-78-4	0.208333333333333	C=CCCC		2
1-butanamine	109-73-9	0.708333333333333	CCCCN		2
formic acid, ethyl ester	109-94-4	2.29166666666667	CCOC=O		2
furan, tetrahydro-	109-99-9|24979-97-3	0.708333333333333	C1CCOC1		2
furan	110-00-9|25067-54-3	0.708333333333333	c1ccoc1		2
thiophene	107760-19-0|110-02-1|25233-34-5|51325-05-4	2.29166666666667	c1ccsc1		2
2-heptanone	110-43-0	2.29166666666667	CCCCCC(C)=O		2
hexane	110-54-3|478799-92-7|50981-41-4|92112-69-1	0.708333333333333	CCCCCC		2
ethene, (2-chloroethoxy)-	110-75-8|29160-08-5	0.708333333333333	C=COCCCl		2
cyclohexane	110-82-7|12217-02-6	0.708333333333333	C1CCCCC1		2
cyclohexene	110-83-8|25012-94-6	0.208333333333333	C1=CCCCC1		2
pyridine	110-86-1|29761-81-7	22.9166666666667	c1ccncc1		2
1-hexanol	111-27-3|25917-35-5	2.29166666666667	CCCCCCO		2
ethanol, 2,2'-iminobis-	111-42-2	0.208333333333333	OCCNCCO		2
propane, 1,1'-oxybis-	111-43-3	0.708333333333333	CCCOCCC		2
ethane, 1,1'-oxybis 2-chloro-		0.708333333333333	ClCCOCCCl	1,1'-oxybis(2-chloroethane)	1
octane	111-65-9|31372-91-5|9065-92-3	0.708333333333333	CCCCCCCC		2
1-octene	111-66-0|26746-84-9	0.208333333333333	C=CCCCCCC		2
1-octanol	111-87-5|220713-26-8|29063-28-3	2.29166666666667	CCCCCCCCO		2
dodecane	112-40-3|93685-81-5	0.708333333333333	CCCCCCCCCCCC		2
propoxur	114-26-1	0.208333333333333	CN=C(O)Oc1ccccc1OC(C)C		2
methane, oxybis-	115-10-6|157621-61-9	0.708333333333333	COC		2
aldicarb	116-06-3	0.208333333333333	CN=C(O)ON=CC(C)(C)SC		2
HCB	118-74-1	708.333333333333	Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl		1
benzoic acid, 2-methyl-	118-90-1|25567-10-6|442197-98-0	2.29166666666667	Cc1ccccc1C(=O)O		2
benzoic acid, 2-chloro-	118-91-2|26264-09-5	7.08333333333333	O=C(O)c1ccccc1Cl		2
methanone, diphenyl-	119-61-9	22.9166666666667	O=C(c1ccccc1)c1ccccc1		2
anthracene	120-12-7|54261-80-2	2.29166666666667	c1ccc2cc3ccccc3cc2c1		2
1,2-benzenediol	120-80-9|12385-08-9|26982-53-6	0.708333333333333	Oc1ccccc1O		2
benzene, 1,2,4-trichloro-	104810-41-5|120-82-1|63697-18-7	22.9166666666667	Clc1ccc(Cl)c(Cl)c1		2
phenol, 2,4-dichloro-	120-83-2|3317-66-6	2.29166666666667	Oc1ccc(Cl)cc1Cl		2
benzene, 1-methyl-2,4-dinitro-	121-14-2|1326-41-6|84029-42-5	0.708333333333333	Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-]		2
benzenamine, n,n-dimethyl-	101357-19-1|121-69-7|86362-18-7	0.208333333333333	CN(C)c1ccccc1		2
malathion	121-75-5	0.708333333333333	CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC		2
1,3,5-triazine-2,4-diamine, 6-chloro-n,n'-diethyl-	122-34-9	2.29166666666667	CCN=c1nc(Cl)[nH]c(=NCC)[nH]1		2
benzenamine, n-phenyl-	122-39-4|25656-57-9	0.208333333333333	c1ccc(Nc2ccccc2)cc1		2
propanal	123-38-6|25722-18-3	0.208333333333333	CCC=O		1
butanal	123-72-8|27789-14-6	0.208333333333333	CCCC=O		2
acetic acid, butyl ester	123-86-4	2.29166666666667	CCCCOC(C)=O		2
1,4-dioxane	123-91-1|28552-22-9	2.29166666666667	C1COCCO1		2
decane	116372-01-1|124-18-5|63335-87-5	0.708333333333333	CCCCCCCCCC		2
methanamine, n-methyl-	124-40-3|20786-94-1	0.208333333333333	CNC		2
1,3-butadiene, 2-chloro-	126-99-8	2.29166666666667	C=CC(=C)Cl		2
pyrene	129-00-0|1346601-04-4|41496-25-7	7.08333333333333	c1cc2ccc3cccc4ccc(c1)c2c34		2
1,2-benzenedicarboxylic acid, dimethyl ester	131-11-3	7.08333333333333	COC(=O)c1ccccc1C(=O)OC		2
dibenzofuran	132-64-9	2.29166666666667	c1ccc2c(c1)oc1ccccc12		2
1-naphthalenamine	134-32-7|25168-10-9	0.208333333333333	Nc1cccc2ccccc12		2
thioperoxydicarbonic diamide, tetramethyl-	137-26-8	7.08333333333333	CN(C)C(=S)SSC(=S)N(C)C		2
ethanol, 2-amino-	12220-07-4|12220-09-6|141-43-5	0.208333333333333	NCCO		2
acetic acid ethyl ester	141-78-6	2.29166666666667	CCOC(C)=O		2
cyclopentene	10016-46-3|142-29-0|29300-20-7	0.208333333333333	C1=CCCC1		2
hexanoic acid	142-62-1|56279-38-0	2.29166666666667	CCCCCC(=O)O		2
perylene	198-55-0|69736-15-8	7.08333333333333	c1cc2cccc3c4cccc5cccc(c(c1)c23)c54		2
fluoranthene	206-44-0|76774-50-0	7.08333333333333	c1ccc2c(c1)-c1cccc3cccc-2c13		2
benzo(k)fluoranthene	207-08-9	7.08333333333333	c1ccc2cc3c(cc2c1)-c1cccc2cccc-3c12		2
chrysene	218-01-9|65777-08-4	7.08333333333333	c1ccc2c(c1)ccc1c3ccccc3ccc21		2
cyclopentane	287-92-3	0.708333333333333	C1CCCC1		2
cyclo-octane		0.708333333333333	C1CCCCCCC1		2
parathion methyl	298-00-0	0.708333333333333	COP(=S)(OC)Oc1ccc([N+](=O)[O-])cc1		2
aldrin	309-00-2	0.208333333333333	ClC1=C(Cl)[C@]2(Cl)[C@H]3[C@H]([C@@H]4C=C[C@H]3C4)[C@@]1(Cl)C2(Cl)Cl		2
diuron	330-54-1	0.708333333333333	CN(C)C(O)=Nc1ccc(Cl)c(Cl)c1		2
linuron	330-55-2|56645-87-5	0.708333333333333	CON(C)C(O)=Nc1ccc(Cl)c(Cl)c1		2
diazinon	333-41-5	22.9166666666667	CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1		2
benzene, fluoro-	462-06-6	0.708333333333333	Fc1ccccc1		2
1h-indene, 2,3-dihydro-	496-11-7|56573-11-6	0.708333333333333	c1ccc2c(c1)CCC2		2
benzene, 1,2,3-trimethyl-	25551-13-7|526-73-8	0.708333333333333	Cc1cccc(C)c1C		2
phenol, 2-methyl-4,6-dinitro-	534-52-1	7.08333333333333	Cc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O		2
benzene, 1,3-dichloro-	541-73-1|63697-17-6	22.9166666666667	Clc1cccc(Cl)c1		2
2,3-dimethylnaphthalene	581-40-8	0.708333333333333	Cc1cc2ccccc2cc1C		2
benzene, iodo-	51209-48-4|591-50-4	7.08333333333333	Ic1ccccc1		2
2-hexanone	30637-87-7|591-78-6	2.29166666666667	CCCCC(C)=O		2
acetic acid, 2-propenyl ester	29467-34-3|591-87-7	2.29166666666667	C=CCOC(C)=O		2
1,4-pentadiene	591-93-5	0.208333333333333	C=CCC=C		2
formic acid, butyl ester	592-84-7	2.29166666666667	CCCCOC=O		2
benzene, pentachloro-	608-93-5	229.166666666667	Clc1cc(Cl)c(Cl)c(Cl)c1Cl		2
1-propanamine, n-nitroso-n-propyl-	621-64-7	0.208333333333333	CCCN(CCC)N=O		2
3-butenoic acid	28391-17-5|625-38-7	0.708333333333333	C=CCC(=O)O		2
1,4-cyclohexadiene	628-41-1	0.208333333333333	C1=CCC=CC1		2
acetic acid, pentyl ester	628-63-7|828-63-7	2.29166666666667	CCCCCOC(C)=O		2
benzene, 1,2,3,4-tetrachloro-	13280-72-3|634-66-2|63697-20-1	70.8333333333333	Clc1ccc(Cl)c(Cl)c1Cl		2
benzene, 1,2,3,5-tetrachloro-	634-90-2|63697-21-2	70.8333333333333	Clc1cc(Cl)c(Cl)c(Cl)c1		2
1-hexyne	26856-30-4|28827-85-2|693-02-7	0.208333333333333	C#CCCCC		2
carbamothioic acid, dipropyl-, s-ethyl ester	759-94-4	0.708333333333333	CCCN(CCC)C(=O)SCC		2
1-ethylnaphthalene	1127-76-0|27138-19-8|29793-40-6	0.708333333333333	CCc1cccc2ccccc12		2
carbofuran	1563-66-2	0.208333333333333	CN=C(O)Oc1cccc2c1OC(C)(C)C2		2
trifluralin	1582-09-8|71281-30-6	7.08333333333333	CCCN(CCC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-]		2
propane, 2-methoxy-2-methyl-	1219795-06-8|1634-04-4	0.708333333333333	COC(C)(C)C		2
2,3,7,8-TCDD	1746-01-6|56795-67-6	7.08333333333333	Clc1cc2c(cc1Cl)Oc1cc(Cl)c(Cl)cc1O2		2
atrazine	102029-43-6|1912-24-9	0.208333333333333	CCN=c1nc(Cl)[nH]c(=NC(C)C)[nH]1		2
dicamba	1918-00-9|62610-39-3|89300-29-8	2.29166666666667	COc1c(Cl)ccc(Cl)c1C(=O)O		2
decachlorobiphenyl		2291.66666666667	Clc1c(Cl)c(Cl)c(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1Cl		1
3 chlorobiphenyl		7.08333333333333	Clc1cccc(-c2ccccc2)c1		2
diallate	17708-57-5|2303-16-4	0.708333333333333	CC(C)N(C(=O)SCC(Cl)=CCl)C(C)C		2
triallate	2303-17-5	7.08333333333333	CC(C)N(C(=O)SCC(Cl)=C(Cl)Cl)C(C)C		2
2-methoxytetrachlorophenol	2539-17-5|97331-56-1	7.08333333333333	COc1c(O)c(Cl)c(Cl)c(Cl)c1Cl		2
octachlorodibenzo-p-dioxin	3268-87-9	22.9166666666667	Clc1c(Cl)c(Cl)c2c(c1Cl)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1O2		2
o,p' DDE	3424-82-6	7.08333333333333	ClC(Cl)=C(c1ccc(Cl)cc1)c1ccccc1Cl		2
2,8-dichlorodibenzofuran	5409-83-6	7.08333333333333	Clc1ccc2oc3ccc(Cl)cc3c2c1		2
benzene, 1-chloro-4-phenoxy-	55398-86-2|7005-72-3	0.708333333333333	Clc1ccc(Oc2ccccc2)cc1		2
mecoprop	7085-19-0|93-65-2	0.708333333333333	Cc1cc(Cl)ccc1OC(C)C(=O)O		2
toxaphene	1852481-29-8|8001-35-2	7.08333333333333	C=C1C(CCl)(CCl)C2(Cl)C(Cl)C(Cl)C1(Cl)C2(Cl)Cl		2
benomyl	17804-35-2	0.208333333333333	CCCCN=C(O)n1c(N=C(O)OC)nc2ccccc21		2
2,3,4-trichlorobiphenyl		22.9166666666667	Clc1ccc(-c2ccccc2)c(Cl)c1Cl		2
2,3,3',4',5'-pentachlorobiphenyl		70.8333333333333	Clc1cc(-c2cccc(Cl)c2Cl)cc(Cl)c1Cl		2
2,2' dichloro 4 methylbiphenyl		7.08333333333333	Cc1ccc(-c2ccccc2Cl)c(Cl)c1		1
3,3',4,4',5,5'-hexachlorobiphenyl		229.166666666667	Clc1cc(-c2cc(Cl)c(Cl)c(Cl)c2)cc(Cl)c1Cl		1
2,2',3,3',4,5,6-heptachlorobiphenyl		229.166666666667	Clc1cccc(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c1Cl		1
1,2,3,4-tetrachlorodibenzo-p-dioxin	30746-58-8	7.08333333333333	Clc1c(Cl)c(Cl)c2c(c1Cl)Oc1ccccc1O2		2
isopropalin	33820-53-0	0.708333333333333	CCCN(CCC)c1c([N+](=O)[O-])cc(C(C)C)cc1[N+](=O)[O-]		2
2,7-dichlorodibenzo-p-dioxin	33857-26-0	7.08333333333333	Clc1ccc2c(c1)Oc1ccc(Cl)cc1O2		3
1,2,3,4,6,7,8-heptchlorodibenzo-p-dioxin		22.9166666666667	Clc1cc2c(c(Cl)c1Cl)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1O2		2
2,8-dichlorodibenzo-p-dioxin	38964-22-6	7.08333333333333	Clc1ccc2c(c1)Oc1cc(Cl)ccc1O2		2
octachlorodibenzofuran	39001-02-0	22.9166666666667	Clc1c(Cl)c(Cl)c2c(oc3c(Cl)c(Cl)c(Cl)c(Cl)c32)c1Cl		2
1,2,4-trichlorodibenzo-p-dioxin	39227-58-2	7.08333333333333	Clc1cc(Cl)c2c(c1Cl)Oc1ccccc1O2		2
1,2,3,4,7-pentachlorodibenzo-p-dioxin	39227-61-7	22.9166666666667	Clc1ccc2c(c1)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1O2		2
2,3,7,8-TCDF	51207-31-9	7.08333333333333	Clc1cc2oc3cc(Cl)c(Cl)cc3c2cc1Cl		2
metolachlor	51218-45-2|82535-90-8	7.08333333333333	CCc1cccc(C)c1N(C(=O)CCl)C(C)COC		2
2,2',3,3',4,5,5',6,6'-nonachlorobiphenyl		708.333333333333	Clc1cc(Cl)c(Cl)c(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c1Cl		1
PCB 28*		10.625	Clc1ccc(-c2ccc(Cl)cc2Cl)cc1	2,4,4'-Trichlorobiphenyl	2
PCB 101*		36.875	Clc1ccc(Cl)c(-c2cc(Cl)c(Cl)cc2Cl)c1	2,2',4,5,5'-Pentachlorobiphenyl	2
PCB 180*		110.625	Clc1cc(Cl)c(-c2cc(Cl)c(Cl)c(Cl)c2Cl)cc1Cl	2,2',3,4,4',5,5'-Heptachlorobiphenyl	2
p-cresol*		0.25	Cc1ccc(O)cc1	p-cresol	2
Mirex	143-50-0|2385-85-5	7.08333333333333	ClC1(Cl)C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl		1
iso-propyl-4-methyl-benzene		0.708333333333333	Cc1ccc(C(C)C)cc1		1
Heptachlor	76-44-8	2.29166666666667	ClC1=C(Cl)C2(Cl)C3C(Cl)C=CC3C1(Cl)C2(Cl)Cl		1
Acenapthene	83-32-9	2.29166666666667	c1cc2c3c(cccc3c1)CC2		1
3,3'-dichlorobenzidine	86349-58-8|91-94-1	0.208333333333333	Nc1ccc(-c2ccc(N)c(Cl)c2)cc1Cl		1
PCB-202	2136-99-4	708.333333333333	Clc1cc(Cl)c(Cl)c(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1Cl		1
2,3,4,7,8-Pentachlorodibenzofuran	57117-31-4	22.9166666666667	Clc1cc2oc3c(Cl)c(Cl)c(Cl)cc3c2cc1Cl		1
PCB-171	52663-71-5	229.166666666667	Clc1ccc(-c2c(Cl)cc(Cl)c(Cl)c2Cl)c(Cl)c1Cl		1
1,2,3,7-Tetrachlorodibenzo-P-dioxin	67028-18-6	7.08333333333333	Clc1ccc2c(c1)Oc1cc(Cl)c(Cl)c(Cl)c1O2		1
PCB-128	11096-82-5|38380-07-3	229.166666666667	Clc1ccc(-c2ccc(Cl)c(Cl)c2Cl)c(Cl)c1Cl		1
