Compound	CAS	T_half_sediment_days	Canonical_smiles	Corrected_names	n_sources
chlordane	12789-03-6|33442-85-2|5103-71-9|5103-74-2	2291.66666666667	ClC1=C(Cl)C2(Cl)C3C(Cl)C(Cl)CC3C1(Cl)C2(Cl)Cl		1
ethane, 1,1'-oxybis-	60-29-7|667919-88-2	70.8333333333333	CCOCC		1
acetamide	60-35-5|74330-92-0	22.9166666666667	CC(=N)O		1
dieldrin	60-57-1|605-72-1	2291.66666666667	ClC1=C(Cl)[C@]2(Cl)[C@@H]3[C@@H]4C[C@@H]([C@H]5O[C@@H]45)[C@@H]3[C@@]1(Cl)C2(Cl)Cl		1
benzenamine	136260-71-4|62-53-3	70.8333333333333	Nc1ccccc1		1
ethanethioamide	62-55-5	22.9166666666667	CC(=N)S		1
methanamine, n-methyl-n-nitroso-	62-75-9	229.166666666667	CN(C)N=O		1
1-naphthalenol, methylcarbamate	27636-33-5|3197-92-0|63-25-2	70.8333333333333	CN=C(O)Oc1cccc2ccccc12		1
ethanol	42845-45-4|64-17-5|8000-16-6	7.08333333333333	CCO		1
formic acid	64-18-6|82069-14-5	22.9166666666667	O=CO		1
acetic acid	64-19-7|77671-22-8	22.9166666666667	CC(=O)O		1
benzoic acid	14322-82-8|65-85-0	22.9166666666667	O=C(O)c1ccccc1		1
methanol	170082-17-4|67-56-1	7.08333333333333	CO		1
2-propanol	1344575-38-7|67-63-0|8003-15-4	7.08333333333333	CC(C)O		1
2-propanone	67-64-1	22.9166666666667	CC(C)=O		1
methane, trichloro-	67-66-3	708.333333333333	ClC(Cl)Cl		1
ethane, hexachloro-	67-72-1	708.333333333333	ClC(Cl)(Cl)C(Cl)(Cl)Cl		1
benzoic acid, 2-hydroxy-	29656-58-4|69-72-7|8052-31-1	22.9166666666667	O=C(O)c1ccccc1O		1
1-propanol	142583-61-7|62309-51-7|71-23-8	7.08333333333333	CCCO		1
1-butanol	1219794-84-9|35296-72-1|6167-45-9|64118-16-7|71-36-3	7.08333333333333	CCCCO		1
1-pentanol	148587-12-6|30899-19-5|71-41-0	7.08333333333333	CCCCCO		1
benzene	25053-22-9|26181-88-4|3355-34-8|54682-86-9|62485-97-6|71-43-2	70.8333333333333	c1ccccc1		1
methoxychlor	1644449-82-0|72-43-5	229.166666666667	COc1ccc(C(c2ccc(OC)cc2)C(Cl)(Cl)Cl)cc1		1
p,p' - DDE		2291.66666666667	ClC(Cl)=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1	1,1'-(2,2-dichloroethenylidene)bis[4-chloro-benzene]	1
methane, bromochloro-	13590-47-1|74-97-5	229.166666666667	ClCBr		1
ethene, chloro-	1187028-37-0|75-01-4	229.166666666667	C=CCl		1
ethanamine	75-04-7	22.9166666666667	CCN		1
acetaldehyde	75-07-0	7.08333333333333	CC=O		1
methane, dichloro-	75-09-2	708.333333333333	ClCCl		1
methane, bromodichloro-	75-27-4	229.166666666667	ClC(Cl)Br		1
2-propanol, 2-methyl-	25-65-0|75-65-0	22.9166666666667	CC(C)(C)O		1
propanoic acid, 2,2-dichloro-	75-99-0	70.8333333333333	CC(Cl)(Cl)C(=O)O		1
ethane, pentachloro-	76-01-7	708.333333333333	ClC(Cl)C(Cl)(Cl)Cl		1
1-propanol, 2-methyl-	78-83-1	7.08333333333333	CC(C)CO		1
propane, 1,2-dichloro-	78-87-5	708.333333333333	CC(Cl)CCl		1
2-butanone	78-93-3	22.9166666666667	CCC(C)=O		1
ethene, trichloro-	123919-09-5|79-01-6	229.166666666667	ClC=C(Cl)Cl		1
