CAS	Canonical_smiles	T_half_sediment_days
2051-62-9	c1ccc(cc1)c2ccc(cc2)Cl	708.3332033971869
2051-60-7	c1ccc(cc1)c2ccccc2Cl	708.3332033971869
56-23-5	C(Cl)(Cl)(Cl)Cl	708.3332033971869
75-09-2	C(Cl)Cl	708.3332033971869
67-66-3	C(Cl)(Cl)Cl	708.3332033971869
2385-85-5	C13(C4(C2(C5(C(C1(C2(Cl)Cl)Cl)(C3(C(C45Cl)(Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl	2291.666942205042
5103-74-2	C2(=C(C3(C1C(CC(C1Cl)Cl)C2(C3(Cl)Cl)Cl)Cl)Cl)Cl	2291.666942205042
2051-24-3	c2(c1c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)c(c(c(c(c2Cl)Cl)Cl)Cl)Cl	2291.666942205042
2136-99-4	c2c(c(c(c1c(c(cc(c1Cl)Cl)Cl)Cl)c(c2Cl)Cl)Cl)Cl	2291.666942205042
52663-71-5	c1cc(c(c(c1c2c(cc(c(c2Cl)Cl)Cl)Cl)Cl)Cl)Cl	2291.666942205042
38380-07-3	c1cc(c(c(c1c2ccc(c(c2Cl)Cl)Cl)Cl)Cl)Cl	2291.666942205042
38380-02-8	c1cc(c(c(c1c2cc(ccc2Cl)Cl)Cl)Cl)Cl	2291.666942205042
2437-79-8	c1cc(cc(c1c2ccc(cc2Cl)Cl)Cl)Cl	2291.666942205042
38444-93-8	c2cc(c1cccc(c1Cl)Cl)c(c(c2)Cl)Cl	2291.666942205042
38444-86-9	c1ccc(c(c1)c2ccc(c(c2)Cl)Cl)Cl	2291.666942205042
15862-07-4	c1ccc(cc1)c2cc(c(cc2Cl)Cl)Cl	2291.666942205042
37680-65-2	c1ccc(c(c1)c2cc(ccc2Cl)Cl)Cl	2291.666942205042
35693-92-6	c1ccc(cc1)c2c(cc(cc2Cl)Cl)Cl	2291.666942205042
309-00-2	C1=CC2CC1C3C2C4(C(=C(C3(C4(Cl)Cl)Cl)Cl)Cl)Cl	2291.666942205042
60-57-1	O1C2C1C3CC2C4C3C5(C(=C(C4(C5(Cl)Cl)Cl)Cl)Cl)Cl	2291.666942205042
40186-72-9	c2c(c1c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)c(c(c(c2Cl)Cl)Cl)Cl	2291.666942205042
72-55-9	c1cc(ccc1C(c2ccc(cc2)Cl)=C(Cl)Cl)Cl	2291.666942205042
50-29-3	c1cc(ccc1C(c2ccc(cc2)Cl)C(Cl)(Cl)Cl)Cl	2291.666942205042
206-44-0	c1ccc2c(c1)c4cccc3cccc2c34	2291.666942205042
129-00-0	c1cc2ccc3cccc4ccc(c1)c2c34	2291.666942205042
56-55-3	c3ccc4cc2c(ccc1ccccc12)cc4(c3)	2291.666942205042
218-01-9	c1ccc2c(c1)ccc3c4ccccc4(ccc23)	2291.666942205042
207-08-9	c1ccc2cc3c5cccc4cccc(c3(cc2(c1)))c45	2291.666942205042
50-32-8	c1ccc2c(c1)cc3ccc4cccc5ccc2c3c45	2291.666942205042
198-55-0	c1cc2cccc3c5cccc4cccc(c(c1)c23)c45	2291.666942205042
191-24-2	c1cc2ccc3ccc4ccc5cccc6c(c1)c2c3c4c56	2291.666942205042
118-74-1	c1(c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)Cl	2291.666942205042
319-84-6	C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl	2291.666942205042
75-69-4	FC(Cl)(Cl)Cl	2291.666942205042
39001-02-0	o1c3c(c2c1c(c(c(c2Cl)Cl)Cl)Cl)c(c(c(c3Cl)Cl)Cl)Cl	2291.666942205042
39227-61-7	O1c3ccc(cc3(Oc2c1c(c(c(c2Cl)Cl)Cl)Cl))Cl	2291.666942205042
51207-31-9	o2c1cc(c(cc1c3cc(c(cc23)Cl)Cl)Cl)Cl	2291.666942205042
67028-18-6	O1c3cc(ccc3(Oc2c1cc(c(c2Cl)Cl)Cl))Cl	2291.666942205042
33423-92-6	O1c3cc(cc(c3(Oc2cc(cc(c12)Cl)Cl))Cl)Cl	2291.666942205042
1746-01-6	O1c3cc(c(cc3(Oc2cc(c(cc12)Cl)Cl))Cl)Cl	2291.666942205042
30746-58-8	O1c3ccccc3(Oc2c1c(c(c(c2Cl)Cl)Cl)Cl)	2291.666942205042
33979-03-2	c2c(cc(c(c1c(cc(cc1Cl)Cl)Cl)c2Cl)Cl)Cl	2291.666942205042
55312-69-1	c1ccc(c(c1)c2cc(c(c(c2Cl)Cl)Cl)Cl)Cl	2291.666942205042
35693-99-3	c1cc(c(cc1Cl)c2cc(ccc2Cl)Cl)Cl	2291.666942205042
32598-13-3	c1cc(c(cc1c2ccc(c(c2)Cl)Cl)Cl)Cl	2291.666942205042
35822-46-9	O1c3cc(c(c(c3(Oc2c1c(c(c(c2Cl)Cl)Cl)Cl))Cl)Cl)Cl	2291.666942205042
