fragment_smiles,frequency,mean_activity,activity_std
CN=C(O)ON=C(C)C(C)S(C)(=O)=O,1,44.0,
O=C1C=CC(=O)c2ccccc21,1,1.2,
O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,1,32.1,
[16*]c1ccc(F)c([16*])c1,1,116.0,
Oc1ccc(Cl)cc1Cl,1,22.917,
[14*]c1nc(Cl)c(Cl)cc1Cl,1,1300.0,
[14*]c1nc(Cl)nc(=NCC)[nH]1,1,200.0,
[14*]c1nc2ccccc2[nH]1,1,403.0,
[14*]c1ncccc1Cl,1,38.0,
[14*]c1nn(C(O)=NC(C)(C)C)c(=O)n1N,1,50.0,
[14*]c1nn(C)cc1C(O)=Nc1cccc2c1C1CCC2C1=C(Cl)Cl,1,639.0,
[14*]c1nsc([14*])n1,1,9.5,
[15*]C1C(C=C(Cl)Cl)C1(C)C,1,116.0,
[15*]C1CC1,1,129.0,
[15*]C1Cc2ccccc2C(c2c(O)c3ccccc3oc2=O)C1,1,439.0,
[16*]c1c(Br)cc(C#N)cc1Br,1,28.0,
[16*]c1c(C)cc(C)cc1C,1,35.0,
[16*]c1c(C)csc1C,1,14.0,
[16*]c1c([N+](=O)[O-])cc(C)c(C)c1[N+](=O)[O-],1,52.2,
[16*]c1cc(Cl)c(Br)cc1Cl,1,88.5,
[16*]c1cc(Cl)c(Cl)c(Cl)c1Cl,1,41666.667,
[16*]c1cc(Cl)c(Cl)cc1Cl,1,41666.667,
[16*]c1cc([16*])c(Cl)cc1Cl,1,577.0,
[16*]c1cc([N+](=O)[O-])c([16*])c([N+](=O)[O-])c1,1,46.0,
[16*]c1cc2c(cc1[16*])OCO2,1,14.0,
[16*]c1ccc(Br)cc1Cl,1,3.0,
C#CCO,1,13.0,
[16*]c1ccc(Cl)nc1,1,15.0,
[14*]c1nc(C)nc(=NC(O)=NS(=O)(=O)c2ccccc2[16*])[nH]1,1,229.0,
[14*]c1nc(C)nc(=NC(O)=NS(=O)(=O)c2ccccc2Cl)[nH]1,1,28.0,
[14*]c1cscn1,1,403.0,
[1*]C(=O)C[4*],1,34.0,
Oc1ccc(O)nn1,1,3.0,
Oc1ccccc1Cl,1,110.0,
Oc1nsc2ccccc12,1,1.0,
Sc1nc2ccccc2s1,1,248.0,
[1*]C(=O)C(=NOC)c1ccccc1[16*],1,2.3,
[1*]C(=O)C([4*])C,1,60.0,
[1*]C(=O)C([8*])[8*],1,36.0,
[1*]C(=O)C=[7*],1,7.0,
[1*]C(=O)CC(C)(C)C,1,5.3,
[1*]C(=O)CCCCCCC,1,28.0,
[1*]C(=O)N(OC)c1ccccc1[16*],1,36.0,
[14*]c1cnc2cc(Cl)ccc2n1,1,60.0,
[1*]C(=O)S[11*],1,70.833,
[10*]N1C(=O)c2ccccc2NS1(=O)=O,1,46.0,
[11*]SN1C(=O)C2CC=CCC2C1=O,1,55.0,
[11*]SP(=O)(OC)OC,1,14.0,
[11*]SP(=S)(OC)OC,1,122.0,
[12*]S(=O)(=O)c1ccccc1[16*],1,25.0,
[13*]C1(C)NC(c2ncc([16*])cc2[16*])=NC1=O,1,257.28,
[13*]C1CO1,1,22.917,
[14*]c1cc(C)nc([14*])n1,1,70.833,
[14*]c1ccc([16*])cn1,1,0.087,
c1ccsc1,1,70.833,
