class_value,log10_class,log10_lower,log10_upper
136.0,2.1335389083702174,2.12909008807066,2.137987728669775
137.0,2.1367205671564067,2.132271746856849,2.1411693874559643
139.0,2.143014800254095,2.1385659799545373,2.1474636205536526
142.0,2.1522883443830563,2.1478395240834987,2.156737164682614
149.00001083728094,2.1731863,2.168737479700442,2.1776351202995574
150.0,2.1760912590556813,2.1716424387561237,2.180540079355239
155.0,2.1903316981702914,2.1858828778707338,2.194780518469849
157.0,2.1958996524092336,2.191450832109676,2.200348472708791
160.0,2.2041199826559246,2.199671162356367,2.208568802955482
164.0,2.214843848047698,2.2103950277481403,2.2192926683472556
166.0,2.220108088040055,2.2156592677404974,2.2245569083396126
168.0,2.225309281725863,2.220860461426305,2.2297581020254205
173.0,2.2380461031287955,2.233597282829238,2.242494923428353
178.0,2.250420002308894,2.2459711820093364,2.2548688226084517
179.0,2.2528530309798933,2.2484042106803357,2.257301851279451
180.0,2.255272505103306,2.2508236848037484,2.2597213254028636
182.0,2.2600713879850747,2.255622567685517,2.2645202082846323
186.0,2.2695129442179165,2.265064123918359,2.273961764517474
190.0,2.278753600952829,2.2743047806532712,2.2832024212523865
192.0,2.2833012287035497,2.278852408403992,2.2877500490031073
200.0,2.3010299956639813,2.2965811753644236,2.305478815963539
201.0,2.303196057420489,2.2987472371209314,2.3076448777200467
202.0,2.305351369446624,2.3009025491470663,2.3098001897461815
210.0,2.322219294733919,2.3177704744343615,2.3266681150334767
219.0,2.3404441148401185,2.335995294540561,2.344892935139676
225.0,2.3521825181113627,2.347733697811805,2.3566313384109203
227.0,2.3560258571931225,2.351577036893565,2.36047467749268
229.0,2.359835482339888,2.3553866620403303,2.3642843026394456
229.166666666667,2.3601514477826386,2.355702627483081,2.3646002680821963
229.16669422050416,2.3601515,2.3557026797004426,2.364600320299558
231.0,2.3636119798921444,2.359163159592587,2.368060800191702
233.0,2.367355921026019,2.3629071007264613,2.3718047413255765
234.0,2.369215857410143,2.3647670371105853,2.3736646777097006
237.0,2.374748346010104,2.3702995257105464,2.3791971663096616
246.0,2.3909351071033793,2.3864862868038217,2.395383927402937
248.0,2.3944516808262164,2.390002860526659,2.398900501125774
250.0,2.3979400086720375,2.39349118837248,2.402388828971595
253.0,2.403120521175818,2.3986717008762604,2.4075693414753756
256.0,2.4082399653118496,2.403791145012292,2.412688785611407
257.28,2.4104060270683574,2.4059572067687998,2.414854847367915
258.0,2.41161970596323,2.4071708856636724,2.4160685262627877
271.0,2.432969290874406,2.428520470574848,2.4374181111739635
275.0,2.439332693830263,2.4348838735307052,2.4437815141298205
300.0,2.4771212547196626,2.472672434420105,2.4815700750192202
310.0,2.4913616938342726,2.486912873534715,2.4958105141338303
315.0,2.4983105537896004,2.493861733490043,2.502759374089158
332.0,2.5211380837040362,2.5166892634044786,2.525586904003594
336.0,2.526339277389844,2.5218904570902865,2.5307880976894017
341.0,2.5327543789924976,2.52830555869294,2.537203199292055
343.0,2.5352941200427703,2.5308452997432127,2.539742940342328
346.0,2.5390760987927767,2.534627278493219,2.5435249190923344
346.6,2.539828558377898,2.5353797380783405,2.5442773786774557
348.0,2.5415792439465807,2.537130423647023,2.5460280642461384
350.0,2.5440680443502757,2.539619224050718,2.5485168646498333
360.0,2.5563025007672873,2.5518536804677296,2.560751321066845
365.0,2.5622928644564746,2.557844044156917,2.5667416847560323
366.0,2.5634810853944106,2.559032265094853,2.567929905693968
371.0,2.569373909615046,2.5649250893154885,2.5738227299146037
380.0,2.57978359661681,2.5753347763172525,2.5842324169163677
385.0,2.5854607295085006,2.581011909208943,2.589909549808058
393.0,2.5943925503754266,2.589943730075869,2.598841370674984
398.8,2.600755149639618,2.5963063293400603,2.6052039699391756
403.0,2.6053050461411096,2.600856225841552,2.609753866440667
410.0,2.6127838567197355,2.608335036420178,2.617232677019293
416.666666666667,2.6197887582883945,2.615339937988837,2.624237578587952
430.0,2.6334684555795866,2.629019635280029,2.6379172758791443
433.0,2.6364878963533656,2.632039076053808,2.640936716652923
437.0,2.640481436970422,2.6360326166708643,2.6449302572699795
439.0,2.6424645202421213,2.6380156999425637,2.646913340541679
468.0,2.670245853074124,2.6657970327745666,2.674694673373682
469.0,2.6711728427150834,2.6667240224155258,2.675621663014641
485.0,2.6857417386022635,2.681292918302706,2.690190558901821
502.0,2.7007037171450192,2.6962548968454616,2.705152537444577
507.0,2.705007959333336,2.7005591390337784,2.7094567796328937
508.0,2.7058637122839193,2.7014148919843617,2.710312532583477
513.0,2.7101173651118162,2.7056685448122586,2.714566185411374
533.2,2.726890140741822,2.722441320442264,2.7313389610413794
577.0,2.7611758131557314,2.7567269928561737,2.765624633455289
578.0,2.761927838420529,2.7574790181209714,2.7663766587200866
610.0,2.785329835010767,2.7808810147112095,2.7897786553103248
617.0,2.7902851640332416,2.785836343733684,2.794733984332799
639.0,2.8055008581584002,2.8010520378588426,2.809949678457958
640.0,2.806179973983887,2.8017311536843295,2.8106287942834447
653.0,2.814913181275074,2.810464360975516,2.8193620015746315
708.3332033971869,2.8502376,2.845788779700442,2.8546864202995574
708.333333333333,2.8502376796666677,2.84578885936711,2.8546864999662254
730.0,2.863322860120456,2.8588740398208983,2.8677716804200135
745.0,2.8721562727482928,2.867707452448735,2.8766050930478504
750.0,2.8750612633917,2.8706124430921425,2.8795100836912577
770.0,2.886490725172482,2.882041904872924,2.8909395454720395
840.0,2.9242792860618816,2.919830465762324,2.928728106361439
932.0,2.9694159123539814,2.9649670920544238,2.973864732653539
960.0,2.9822712330395684,2.977822412740011,2.986720053339126
1039.0,3.016615547557177,3.0121667272576196,3.021064367856735
1059.0,3.024895960107485,3.0204471398079273,3.0293447804070426
1077.0,3.0322157032979815,3.027766882998424,3.036664523597539
1155.0,3.062581984228163,3.0581331639286056,3.067030804527721
1300.0,3.113943352306837,3.1094945320072793,3.1183921726063946
1336.0,3.125806458139527,3.1213576378399694,3.1302552784390847
1410.0,3.1492191126553797,3.144770292355822,3.1536679329549373
1600.0,3.2041199826559246,3.199671162356367,3.208568802955482
1608.0,3.2062860444124324,3.2018372241128747,3.21073486471199
1659.0,3.219846386024361,3.2153975657248033,3.2242952063239185
2291.66666666667,3.3601514477826386,3.355702627483081,3.3646002680821963
2291.666942205042,3.3601515,3.3557026797004426,3.364600320299558
3285.0,3.5165353738957994,3.512086553596242,3.520984194195357
3652.0,3.562530768862261,3.5580819485627035,3.566979589161819
4166.66666666667,3.619788758288394,3.6153399379888365,3.6242375785879517
4300.0,3.6334684555795866,3.629019635280029,3.6379172758791443
4730.0,3.6748611407378116,3.670412320438254,3.679309961037369
7305.0,3.8636202202703154,3.8591713999707578,3.868069040569873
41666.6666666667,4.6197887582883945,4.6153399379888365,4.624237578587953
