smiles,split,y_log10,y_lower,y_upper
NCc1ccccc1,train,0.5185139398778874,0.176,0.671
COC(=O)c1ccccc1C(=O)OC,train,2.3601514477826386,1.661,2.164
COc1cc(Cc2c[nH]c(=N)[nH]c2=N)cc(OC)c1OC,train,2.3601514477826386,1.661,2.164
Clc1ccc2c(Cl)c(Cl)c(Cl)c(Cl)c2c1Cl,train,1.99563519459755,2.164,2.661
c1ccc2c(c1)oc1ccccc12,train,2.3601514477826386,2.164,2.661
CN=C(O)ON=CC(C)(C)SC,train,1.3601514477826384,2.661,3.176
Nc1ccc(Cl)c(Cl)c1,train,1.7781512503836436,1.661,2.164
CCCCSP(=O)(SCCCC)SCCCC,train,3.3601514477826386,2.164,2.661
c1ccc2cc3c(cc2c1)-c1cccc2cccc-3c12,train,1.3601514477826384,3.176,inf
Clc1ccccc1Cl,train,1.8502376796666677,2.661,3.176
Cc1cc(Cl)ccc1OC(C)C(=O)O,train,2.3601514477826386,1.661,2.164
CC(C)CO,train,2.3601514477826386,0.671,1.176
CC(C)N(C(=O)SCC(Cl)=CCl)C(C)C,train,2.8502376796666677,2.164,2.661
Cc1ccccc1C(=O)O,train,2.3601514477826386,1.176,1.661
NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,train,2.130333768495006,1.176,1.661
NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,train,0.9542425094393249,1.176,1.661
ClCC(Cl)CCl,train,2.8502376796666677,2.661,3.176
Cc1ccc(C)cc1,train,2.3601514477826386,2.164,2.661
Clc1cc(-c2cccc(Cl)c2Cl)cc(Cl)c1Cl,train,3.8502376796666677,3.176,inf
O=C(O)Cc1ccccc1,train,1.3601514477826384,1.176,1.661
Cc1ccc(C)c(C)c1,train,1.8502376796666677,2.164,2.661
Cn1sccc1=O,train,1.7160033436347992,0.671,1.176
CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c1ccc(OC(F)F)cc1,train,2.462397997898956,1.176,1.661
CCCCCCCC,train,1.8502376796666677,2.164,2.661
CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,train,1.3601514477826384,1.176,1.661
N#Cc1cccnc1,train,0.973589623427257,0.671,1.176
Nc1ccc(-c2ccc(N)cc2)cc1,train,2.3601514477826386,1.176,1.661
C1CCCCCCC1,train,1.3601514477826384,1.661,2.164
Nc1ccc(Cl)cc1,train,2.8502376796666677,1.176,1.661
Clc1cc(Cl)c(Cl)c(Cl)c1Cl,train,3.3601514477826386,2.661,3.176
CCCCOC(C)=O,train,3.3601514477826386,1.176,1.661
COc1c(Cl)ccc(Cl)c1C(=O)O,train,3.3601514477826386,1.661,2.164
Cc1cccc(C)c1N,train,0.8502376796666677,1.661,2.164
ClC(Cl)Br,train,1.8502376796666677,2.164,2.661
Cc1ccccc1[N+](=O)[O-],train,1.8502376796666677,2.164,2.661
CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,train,1.3601514477826384,1.661,2.164
CC(C)(C)C(O)C(Oc1ccc(Cl)cc1)n1cncn1,train,1.3601514477826384,2.164,2.661
O=C1CCCCC1,train,2.3601514477826386,1.176,1.661
CCCCCO,train,2.3601514477826386,0.671,1.176
Cc1ccc(-c2ccccc2Cl)c(Cl)c1,train,0.3521825181113625,2.661,3.176
CCCCN=C(O)OCC#CI,train,-0.25635957462154463,-0.339,0.176
Cc1ccc(O)c(C)c1,train,2.3601514477826386,1.176,1.661
O=[N+]([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,train,2.574031267727719,0.671,1.176
CC(=N)S,train,1.8502376796666677,1.176,1.661
CCCCCC(=O)O,train,2.8502376796666677,1.176,1.661
CCOCC,train,1.3601514477826384,1.661,2.164
CC(Cl)(Cl)C(=O)O,test,2.8502376796666677,1.661,2.164
CN=C(O)Oc1cccc2ccccc12,test,3.3601514477826386,1.661,2.164
ClC=C(Cl)Cl,test,1.3601514477826384,2.164,2.661
Oc1ccccc1Cl,test,0.8388490907372553,0.671,1.176
O=[N+]([O-])c1ccc(O)cc1,test,0.8502376796666677,1.661,2.164
C=CCl,test,1.3601514477826384,2.164,2.661
C=CCCC,test,2.3601514477826386,1.661,2.164
C=CCO,test,0.8502376796666677,0.671,1.176
CN(C)C(=S)SSC(=S)N(C)C,test,1.8502376796666677,1.661,2.164
CCCCOC(=O)c1ccccc1C(=O)OCCCC,test,1.3601514477826384,1.661,2.164
Cc1ccc([N+](=O)[O-])cc1,test,1.3601514477826384,2.164,2.661
Cc1ccccc1C,test,1.8502376796666677,2.164,2.661
CCCCCC,test,3.3601514477826386,2.164,2.661
ClC(Cl)=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,test,1.3601514477826384,3.176,inf
