fragment_smiles,frequency,mean_activity,activity_std
[1*]C(=O)C([4*])C,1,507.0,
[1*]C(=O)C([4*])C(C)C,1,15.0,
[1*]C(=O)N(C)OC,1,70.833,
[1*]C(=O)N(OC)c1ccccc1[16*],1,36.0,
[1*]C(=O)N=C(O)c1c(F)cccc1F,1,27.0,
[10*]N1C(=O)c2ccccc2NS1(=O)=O,1,46.0,
[11*]SP(=O)(S[11*])S[11*],1,745.0,
[11*]SP(=S)(OC)OC,1,23.0,
[12*]S(=O)(=O)c1ccc(N)cc1,1,7.6,
[12*]S(=O)(=O)c1nc2nc(C)ccn2n1,1,246.0,
c1ccc2ncccc2c1,1,22.917,
