smiles,split,y_log10,y_lower,y_upper
CCCN(CCC)N=O,train,0.8502376796666677,-0.339,0.176
CCC(C)(C)C(C)C,train,0.7160033436347992,0.671,1.176
CCCN(CCC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],train,3.1111504521226676,1.661,2.164
Cc1cc(C)cc(C)c1,train,0.36015144778263847,1.176,1.661
COc1ccc(C(c2ccc(OC)cc2)C(Cl)(Cl)Cl)cc1,train,0.8502376796666677,0.671,1.176
C=COCCCl,train,1.3601514477826384,1.176,1.661
Oc1c(Cl)cc(Cl)cc1Cl,train,0.36015144778263847,0.671,1.176
CCCCCCCCCc1ccccc1O,train,2.0492180226701815,1.661,2.164
Clc1ccc2c(Cl)c(Cl)c(Cl)c(Cl)c2c1Cl,train,1.0791812460476249,1.661,2.164
CCc1c(C)cccc1C,train,0.505149978319906,0.176,0.671
CC1(c2ccc(Oc3ccccc3)cc2)OC(=O)N(Nc2ccccc2)C1=O,train,1.3010299956639813,-0.339,0.176
CCCCCCC(C)(C)C,train,0.4913616938342727,0.671,1.176
CC(C)CCCC(C)CCCC(C)CCCC(C)C,train,1.5440680443502757,0.176,0.671
COP(=S)(OC)SCn1nnc2ccccc2c1=O,train,0.6020599913279624,1.176,1.661
CCCOCCC,train,0.8502376796666677,1.176,1.661
ClC1=C(Cl)C2(Cl)C3C(Cl)C(Cl)CC3C1(Cl)C2(Cl)Cl,train,1.8502376796666677,2.661,3.176
Nc1ccc2ccccc2c1,train,0.8502376796666677,0.671,1.176
CCCCOCCOC(=O)COc1ccc(Cl)cc1Cl,train,1.0413926851582251,-0.339,0.176
Brc1ccccc1,train,1.3601514477826384,1.661,2.164
ClC(Cl)C(Cl)(Cl)Cl,train,1.8502376796666677,1.661,2.164
O=C1CCCCC1,train,1.3601514477826384,0.671,1.176
c1cc2c(c3c1CCCC3)CCCC2,train,2.0681858617461617,0.176,0.671
CCc1ccc(C(=O)NN(C(=O)c2cc(C)cc(C)c2)C(C)(C)C)cc1,train,2.8502376796666677,2.661,3.176
c1ccncc1,train,1.8502376796666677,1.176,1.661
CCc1cc(C)ccc1C,train,0.5185139398778874,0.176,0.671
Cc1ccc([N+](=O)[O-])cc1,train,1.3601514477826384,0.176,0.671
CC(C)CCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC(C)C,train,2.214843848047698,1.176,1.661
FC(F)(F)c1ccc(OCCCOc2c(Cl)cc(OCC=C(Cl)Cl)cc2Cl)nc1,train,0.6020599913279624,2.164,2.661
Clc1cccc(Cl)c1,train,3.3601514477826386,1.661,2.164
Cc1ccccc1C(=O)O,train,1.3601514477826384,0.176,0.671
COC,train,1.8502376796666677,1.176,1.661
C1CCOC1,train,0.8502376796666677,0.671,1.176
C=CC=CC,train,1.4471580313422192,1.176,1.661
CC(O)=Nc1ccc(O)cc1,train,-0.14468683477151656,1.661,2.164
Cc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,train,0.8502376796666677,0.671,1.176
Clc1c(Cl)c(Cl)c(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1Cl,train,1.0170333392987803,3.176,inf
Clc1cc(Cl)c(Cl)c(Cl)c1,train,1.3601514477826384,2.164,2.661
Nc1c(Cl)cc(Cl)cc1Cl,train,-0.017728766960431602,0.176,0.671
CC#N,train,0.0,-0.339,0.176
Cc1ccc2c(ccc3ccccc32)c1,train,1.9777236052888478,0.176,0.671
CCCC(C)CCCC(C)C,train,0.6232492903979004,0.671,1.176
CC1(C)C(=O)N(CO)C(=O)N1CO,train,0.0,1.176,1.661
CCCCCCCCCCCC,train,0.36015144778263847,1.176,1.661
Cc1ccncc1,train,3.3601514477826386,1.176,1.661
CCCC(C)C(C)C,train,1.1430148002540952,0.671,1.176
CCCCC(C)=O,train,2.3601514477826386,0.671,1.176
CCC1CCCCC1,train,0.3222192947339193,0.671,1.176
Clc1ccccc1,train,0.36015144778263847,1.661,2.164
CC(=N)O,train,1.8502376796666677,0.671,1.176
Nc1ccccc1[N+](=O)[O-],train,1.6127838567197355,-0.339,0.176
CC1(C)CCCC1,train,0.505149978319906,0.671,1.176
ClC(Cl)C(Cl)Cl,train,1.8502376796666677,1.661,2.164
N=c1nc(O)c2ncn(COCCO)c2[nH]1,train,1.146128035678238,-0.982,-0.339
CN(C)N=O,train,0.8502376796666677,-0.339,0.176
Nc1ccc(F)cc1,train,-0.028028723600243537,0.176,0.671
CCCCCCCCCCCCCC,train,2.1760912590556813,0.176,0.671
CC(C)=O,train,-0.14976232033333228,0.671,1.176
CC1CCC2CC3CCCCC3CC2C1,train,2.2600713879850747,1.176,1.661
CCC(=O)O,train,-0.35497093527885754,1.176,1.661
CCCCC1CCCCC1,train,0.04139268515822508,0.671,1.176
CC(C)Cc1ccccc1,train,0.6009728956867483,0.176,0.671
CCN=c1nc(NC(C)(C)C)[nH]c(SC)n1,train,2.8502376796666677,2.164,2.661
CC1CCc2ccccc21,train,0.568201724066995,0.176,0.671
CNC,train,0.36015144778263847,0.176,0.671
Cc1cccc2c1ccc1ccccc12,train,1.7781512503836436,0.176,0.671
CCCCCC(C)(C)CC,train,0.47712125471966244,0.671,1.176
CCOC(=O)C(Cl)Cc1cc(-n2nc(C)n(C(F)F)c2=O)c(F)cc1Cl,train,2.2810333672477277,0.176,0.671
CCCCCCO,train,0.8502376796666677,0.176,0.671
CCC(CC)Nc1c([N+](=O)[O-])cc(C)c(C)c1[N+](=O)[O-],train,1.0569048513364727,2.164,2.661
CCCC(C)C,train,0.9084850188786497,0.671,1.176
CCCCCCCCC=CCCCCCCCC(=O)O,train,2.8656960599160706,-0.339,0.176
Cc1ccc(O)c(C)c1,train,0.8502376796666677,0.176,0.671
COP(=S)(OC)Oc1ccc(Sc2ccc(OP(=S)(OC)OC)cc2)cc1,train,0.8502376796666677,1.176,1.661
C=CC(=C)Cl,train,2.8502376796666677,1.176,1.661
CCCCCCCCC,train,0.6334684555795865,1.176,1.661
CN=C(O)Oc1ccccc1OC(C)C,train,1.8502376796666677,1.176,1.661
CC(C)c1ccc2ccc(C(C)C)cc2c1,train,1.287801729930226,1.661,2.164
ClC1=C(Cl)[C@]2(Cl)[C@@H]3[C@@H]4C[C@@H]([C@H]5O[C@@H]45)[C@@H]3[C@@]1(Cl)C2(Cl)Cl,train,0.36015144778263847,2.661,3.176
O=C(c1ccccc1)c1ccccc1,train,1.3601514477826384,0.671,1.176
CC1CCCC(C)(C)C1,train,0.3010299956639812,0.671,1.176
CCCCC(CC)COP(=O)(Oc1ccccc1)Oc1ccccc1,train,1.2041199826559248,0.671,1.176
CC(C)N(C(=O)SCC(Cl)=C(Cl)Cl)C(C)C,train,1.4393326938302626,1.661,2.164
CCN=C(O)N=C(O)C(C#N)=NOC,train,1.4771212547196624,1.661,2.164
CCCCCCC,train,0.47712125471966244,0.176,0.671
CC(C)c1cc(C(C)C)cc(C(C)C)c1,train,1.8573324964312685,1.661,2.164
CC(C)Oc1cccc(N=C(O)c2ccccc2C(F)(F)F)c1,train,1.3979400086720377,2.164,2.661
COc1c(Cl)ccc(Cl)c1C(=O)O,train,1.2329961103921538,1.176,1.661
CCCCCCCC(C)C(C)C,train,0.4471580313422192,0.671,1.176
Cc1ccc2c(c1)CCCC2(C)C,train,0.47712125471966244,0.176,0.671
COCCOCCOCCO,train,1.8502376796666677,-0.982,-0.339
Clc1ccc(Cl)c(Cl)c1,train,1.3601514477826384,1.661,2.164
CCOC(C)=O,train,0.8502376796666677,0.176,0.671
CCC=O,train,0.8502376796666677,0.176,0.671
CCCN(CCC)c1c([N+](=O)[O-])cc(C(C)C)cc1[N+](=O)[O-],train,0.8388490907372553,1.176,1.661
CCCCCCCO,train,0.7403626894942439,-0.982,-0.339
CCCCCOC(C)=O,train,2.3601514477826386,0.176,0.671
Nc1ccc(Br)cc1,train,0.6154239528859439,0.176,0.671
COc1nn(CSP(=S)(OC)OC)c(=O)s1,train,0.36172783601759284,0.671,1.176
CC(C)(C)O,train,1.3601514477826384,0.671,1.176
C=Cc1ccccc1,train,0.36015144778263847,0.671,1.176
CC(C)N(C(=O)SCC(Cl)=CCl)C(C)C,train,1.423245873936808,1.661,2.164
c1ccc2cc3ccccc3cc2c1,train,2.8502376796666677,1.176,1.661
O=C(Cl)c1ccccc1,train,0.9822712330395684,0.9768414206162593,0.9877010454628775
CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,train,1.7781512503836436,1.176,1.661
CCCC(C)CC(C)(C)C,train,0.505149978319906,0.671,1.176
CCCCCCCC(C)CCC,train,2.6364878963533656,0.176,0.671
CCCCCCCC(C)C,train,0.505149978319906,0.176,0.671
COC(C)=O,train,0.8502376796666677,0.176,0.671
CCCCCC(C)C(C)C,train,0.43933269383026263,0.671,1.176
CC(C)c1ccccc1,train,1.8502376796666677,1.176,1.661
CN(CCO)CCO,train,-1.760450279159527,-0.339,0.176
