Id	CAS	SMILES	Status	Experimental value  [log(days)]	Predicted value  [log(days)]
136	2539-17-5	Oc1c(OC)c(c(c(c1Cl)Cl)Cl)Cl	Training	1.8502377	1.59878
137	121-14-2	O=[N+]([O-])c1ccc(c(c1)[N+](=O)[O-])C	Training	1.8502377	1.82804
138	65-85-0	O=C(O)c1ccccc1	Test	0.85023767	0.65717
139	69-72-7	O=C(O)c1ccccc1(O)	Training	0.85023767	0.68688
140	99-99-0	O=[N+]([O-])c1ccc(cc1)C	Training	1.8502377	1.69167
141	88-72-2	O=[N+]([O-])c1ccccc1C	Training	1.8502377	1.69167
142	108-88-3	c1ccc(cc1)C	Training	1.8502377	1.61177
143	106-44-5	Oc1ccc(cc1)C	Test	0.36015144	0.36742
144	95-48-7	Oc1ccccc1C	Training	0.36015144	0.68688
145	100-66-3	O(c1ccccc1)C	Training	1.3601514	1.34887
146	100-51-6	OCc1ccccc1	Training	0.36015144	0.36742
147	90-05-1	Oc1ccccc1(OC)	Training	0.85023767	0.85024
148	1897-45-6	N#Cc1c(c(C#N)c(c(c1Cl)Cl)Cl)Cl	Test	1.3601514	2.60371
149	100-41-4	c1ccc(cc1)CC	Training	1.8502377	1.74474
150	106-42-3	c1cc(ccc1C)C	Training	1.8502377	1.74474
151	108-38-3	c1cc(cc(c1)C)C	Training	1.8502377	1.74474
152	95-47-6	c1ccc(c(c1)C)C	Training	1.8502377	1.74474
153	298-00-0	O=[N+]([O-])c1ccc(OP(OC)(OC)=S)cc1	Test	1.3601514	1.36063
154	105-67-9	Oc1ccc(cc1C)C	Training	0.85023767	0.68688
155	87-62-7	Nc1c(cccc1C)C	Training	1.3601514	1.35831
156	1912-24-9	n1c(nc(nc1NC(C)C)Cl)NCC	Training	1.8502377	1.85027
157	292-64-8	C1CCCCCCC1	Training	1.3601514	1.36041
158	111-66-0	C=CCCCCCC	Test	1.3601514	1.36041
159	111-65-9	CCCCCCCC	Training	1.8502377	1.85016
160	111-87-5	OCCCCCCCC	Training	0.36015144	0.36366
161	93-76-5	O=C(O)COc1cc(c(cc1Cl)Cl)Cl	Training	1.3601514	1.59878
162	1918-00-9	O=C(O)c1c(OC)c(ccc1Cl)Cl	Training	1.3601514	1.36006
163	94-75-7	O=C(O)COc1ccc(cc1Cl)Cl	Test	1.3601514	1.59878
164	95-15-8	c1ccc2c(c1)ccs2	Training	1.8502377	1.85027
165	100-42-5	C=Cc1ccccc1	Training	1.3601514	1.74474
166	98-86-2	O=C(c1ccccc1)C	Training	0.85023767	1.10274
167	103-82-2	O=C(O)Cc1ccccc1	Training	0.85023767	0.84932
168	496-11-7	c1ccc2c(c1)CCC2	Test	1.8502377	1.81655
169	330-54-1	O=C(Nc1ccc(c(c1)Cl)Cl)N(C)C	Training	1.8502377	1.84319
170	330-55-2	O=C(Nc1ccc(c(c1)Cl)Cl)N(OC)C	Training	1.8502377	1.85309
171	2921-88-2	n1c(OP(OCC)(OCC)=S)c(cc(c1Cl)Cl)Cl	Training	0.85023767	1.11313
172	103-65-1	c1ccc(cc1)CCC	Training	1.8502377	1.85007
173	95-63-6	c1cc(c(cc1C)C)C	Test	1.8502377	1.85023
174	108-67-8	c1c(cc(cc1C)C)C	Training	1.8502377	1.85023
175	526-73-8	c1cc(c(c(c1)C)C)C	Training	1.8502377	1.85023
176	98-82-8	c1ccc(cc1)C(C)C	Training	1.8502377	1.85007
177	834-12-8	n1c(nc(nc1NC(C)C)SC)NCC	Test	0.96378785	1.82804
178	759-94-4	O=C(N(CCC)CCC)SCC	Training	0.85023767	0.85815
179	91-22-5	n1cccc2ccccc12	Training	1.3601514	1.38459
180	133-06-2	O=C1N(C(=O)C2CC=CCC12)SC(Cl)(Cl)Cl	Training	1.3601514	1.11313
181	75-69-4	FC(Cl)(Cl)Cl	Training	3.3601515	2.86189
182	76-06-2	O=[N+]([O-])C(Cl)(Cl)Cl	Training	0.36015144	0.38263
183	56-23-5	C(Cl)(Cl)(Cl)Cl	Test	2.3601515	1.85047
184	75-25-2	C(Br)(Br)Br	Training	2.3601515	2.36006
185	75-27-4	C(Cl)(Cl)Br	Training	1.8502377	1.8503
186	131-11-3	O=C(OC)c1ccccc1(C(=O)OC)	Training	1.3601514	1.36063
187	90-12-0	c1ccc2c(c1)cccc2C	Training	1.8502377	1.85004
188	39001-02-0	o1c3c(c2c1c(c(c(c2Cl)Cl)Cl)Cl)c(c(c(c3Cl)Cl)Cl)Cl	Test	3.3601515	2.79266
189	83-32-9	c2cc1cccc3c1c(c2)CC3	Training	2.3601515	2.35282
190	1127-76-0	c1ccc2c(c1)cccc2CC	Training	1.8502377	1.68473
191	581-40-8	c1ccc2cc(c(cc2(c1))C)C	Training	1.8502377	1.68473
192	84-66-2	O=C(OCC)c1ccccc1(C(=O)OCC)	Training	1.3601514	1.52834
193	39227-61-7	O1c3ccc(cc3(Oc2c1c(c(c(c2Cl)Cl)Cl)Cl))Cl	Test	2.8502376	2.87693
194	51207-31-9	o2c1cc(c(cc1c3cc(c(cc23)Cl)Cl)Cl)Cl	Training	2.8502376	2.59769
195	67028-18-6	O1c3cc(ccc3(Oc2c1cc(c(c2Cl)Cl)Cl))Cl	Training	2.8502376	2.85024
196	33423-92-6	O1c3cc(cc(c3(Oc2cc(cc(c12)Cl)Cl))Cl)Cl	Training	2.8502376	2.85024
197	1746-01-6	O1c3cc(c(cc3(Oc2cc(c(cc12)Cl)Cl))Cl)Cl	Training	2.8502376	2.85024
198	30746-58-8	O1c3ccccc3(Oc2c1c(c(c(c2Cl)Cl)Cl)Cl)	Test	2.8502376	2.85024
199	33979-03-2	c2c(cc(c(c1c(cc(cc1Cl)Cl)Cl)c2Cl)Cl)Cl	Training	3.3601515	3.36015
200	39227-58-2	O1c3ccccc3(Oc2c1c(cc(c2Cl)Cl)Cl)	Training	2.3601515	2.36203
201	55312-69-1	c1ccc(c(c1)c2cc(c(c(c2Cl)Cl)Cl)Cl)Cl	Training	3.3601515	3.36006
202	5409-83-6	o2c1ccc(cc1c3cc(ccc23)Cl)Cl	Training	2.3601515	2.59769
203	33857-26-0	O1c3ccc(cc3(Oc2ccc(cc12)Cl))Cl	Test	2.3601515	2.36013
204	38964-22-6	O1c3ccc(cc3(Oc2cc(ccc12)Cl))Cl	Training	2.3601515	2.36013
205	35693-99-3	c1cc(c(cc1Cl)c2cc(ccc2Cl)Cl)Cl	Training	3.3601515	3.36015
206	32598-13-3	c1cc(c(cc1c2ccc(c(c2)Cl)Cl)Cl)Cl	Training	3.3601515	3.36015
207	39227-53-7	O1c3ccccc3(Oc2c1cccc2Cl)	Training	2.3601515	2.36013
